movieId,title,genres,movie_logo
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,113497.jpg
3,Grumpier Old Men (1995),Comedy|Romance,113228.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885.jpg
5,Father of the Bride Part II (1995),Comedy,113041.jpg
6,Heat (1995),Action|Crime|Thriller,113277.jpg
7,Sabrina (1995),Comedy|Romance,114319.jpg
8,Tom and Huck (1995),Adventure|Children,112302.jpg
9,Sudden Death (1995),Action,114576.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,113189.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,112346.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896.jpg
13,Balto (1995),Adventure|Animation|Children,112453.jpg
14,Nixon (1995),Drama,113987.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,112760.jpg
16,Casino (1995),Crime|Drama,112641.jpg
17,Sense and Sensibility (1995),Drama|Romance,114388.jpg
18,Four Rooms (1995),Comedy,113101.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,112281.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,113161.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722.jpg
23,Assassins (1995),Action|Crime|Thriller,112401.jpg
24,Powder (1995),Drama|Sci-Fi,114168.jpg
25,Leaving Las Vegas (1995),Drama|Romance,113627.jpg
26,Othello (1995),Drama,114057.jpg
27,Now and Then (1995),Children|Drama,114011.jpg
28,Persuasion (1995),Drama|Romance,114117.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012.jpg
31,Dangerous Minds (1995),Drama,112792.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746.jpg
34,Babe (1995),Children|Drama,112431.jpg
36,Dead Man Walking (1995),Crime|Drama,112818.jpg
38,It Takes Two (1995),Children|Comedy,113442.jpg
39,Clueless (1995),Comedy|Romance,112697.jpg
40,"Cry, the Beloved Country (1995)",Drama,112749.jpg
41,Richard III (1995),Drama|War,114279.jpg
42,Dead Presidents (1995),Action|Crime|Drama,112819.jpg
43,Restoration (1995),Drama,114272.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855.jpg
45,To Die For (1995),Comedy|Drama|Thriller,114681.jpg
46,How to Make an American Quilt (1995),Drama|Romance,113347.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148.jpg
49,When Night Is Falling (1995),Drama|Romance,114916.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814.jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819.jpg
53,Lamerica (1994),Adventure|Drama,110299.jpg
54,"Big Green, The (1995)",Children|Comedy,112499.jpg
55,Georgia (1995),Drama,113158.jpg
57,Home for the Holidays (1995),Drama,113321.jpg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877.jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419.jpg
61,Eye for an Eye (1996),Drama|Thriller,116260.jpg
62,Mr. Holland's Opus (1995),Drama,113862.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126.jpg
64,Two if by Sea (1996),Comedy|Romance,118002.jpg
65,Bio-Dome (1996),Comedy,115683.jpg
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839.jpg
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149.jpg
69,Friday (1995),Comedy,113118.jpg
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367.jpg
71,Fair Game (1995),Action,113010.jpg
72,Kicking and Screaming (1995),Comedy|Drama,113537.jpg
73,"Misérables, Les (1995)",Drama|War,113828.jpg
74,Bed of Roses (1996),Drama|Romance,115644.jpg
75,Big Bully (1996),Comedy|Drama,115676.jpg
76,Screamers (1995),Action|Sci-Fi|Thriller,114367.jpg
77,Nico Icon (1995),Documentary,113973.jpg
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744.jpg
79,"Juror, The (1996)",Drama|Thriller,116731.jpg
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445.jpg
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660.jpg
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379.jpg
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039.jpg
85,Angels and Insects (1995),Drama|Romance,112365.jpg
86,White Squall (1996),Action|Adventure|Drama,118158.jpg
87,Dunston Checks In (1996),Children|Comedy,116151.jpg
88,Black Sheep (1996),Comedy,115697.jpg
89,Nick of Time (1995),Action|Thriller,113972.jpg
92,Mary Reilly (1996),Drama|Horror|Thriller,117002.jpg
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825.jpg
94,Beautiful Girls (1996),Comedy|Drama|Romance,115639.jpg
95,Broken Arrow (1996),Action|Adventure|Thriller,115759.jpg
96,In the Bleak Midwinter (1995),Comedy|Drama,113403.jpg
97,"Hate (Haine, La) (1995)",Crime|Drama,113247.jpg
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283.jpg
100,City Hall (1996),Drama|Thriller,115907.jpg
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734.jpg
102,Mr. Wrong (1996),Comedy,117102.jpg
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040.jpg
104,Happy Gilmore (1996),Comedy,116483.jpg
105,"Bridges of Madison County, The (1995)",Drama|Romance,112579.jpg
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,110251.jpg
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110.jpg
108,Catwalk (1996),Documentary,112646.jpg
110,Braveheart (1995),Action|Drama|War,112573.jpg
111,Taxi Driver (1976),Crime|Drama|Thriller,75314.jpg
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,113326.jpg
113,Before and After (1996),Drama|Mystery,115645.jpg
116,Anne Frank Remembered (1995),Documentary,112373.jpg
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,115033.jpg
118,If Lucy Fell (1996),Comedy|Romance,116606.jpg
119,"Steal Big, Steal Little (1995)",Comedy,114536.jpg
121,"Boys of St. Vincent, The (1992)",Drama,106473.jpg
122,Boomerang (1992),Comedy|Romance,103859.jpg
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,109424.jpg
125,Flirting With Disaster (1996),Comedy,116324.jpg
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,110647.jpg
128,Jupiter's Wife (1994),Documentary,110217.jpg
129,Pie in the Sky (1996),Comedy|Romance,114131.jpg
132,Jade (1995),Thriller,113451.jpg
135,Down Periscope (1996),Comedy,116130.jpg
137,Man of the Year (1995),Documentary,113756.jpg
140,Up Close and Personal (1996),Drama|Romance,118055.jpg
141,"Birdcage, The (1996)",Comedy,115685.jpg
144,"Brothers McMullen, The (1995)",Comedy,112585.jpg
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,112442.jpg
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,112342.jpg
147,"Basketball Diaries, The (1995)",Drama,112461.jpg
148,"Awfully Big Adventure, An (1995)",Drama,112427.jpg
149,Amateur (1994),Crime|Drama|Thriller,109093.jpg
150,Apollo 13 (1995),Adventure|Drama|IMAX,112384.jpg
151,Rob Roy (1995),Action|Drama|Romance|War,114287.jpg
152,"Addiction, The (1995)",Drama|Horror,112288.jpg
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462.jpg
154,Beauty of the Day (Belle de jour) (1967),Drama,61395.jpg
155,Beyond Rangoon (1995),Adventure|Drama|War,112495.jpg
156,Blue in the Face (1995),Comedy|Drama,112541.jpg
157,Canadian Bacon (1995),Comedy|War,109370.jpg
158,Casper (1995),Adventure|Children,112642.jpg
159,Clockers (1995),Crime|Drama|Mystery,112688.jpg
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715.jpg
161,Crimson Tide (1995),Drama|Thriller|War,112740.jpg
162,Crumb (1994),Documentary,109508.jpg
163,Desperado (1995),Action|Romance|Western,112851.jpg
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,112857.jpg
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,112864.jpg
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,112887.jpg
168,First Knight (1995),Action|Drama|Romance,113071.jpg
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,113114.jpg
170,Hackers (1995),Action|Adventure|Crime|Thriller,113243.jpg
171,Jeffrey (1995),Comedy|Drama,113464.jpg
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,113481.jpg
173,Judge Dredd (1995),Action|Crime|Sci-Fi,113492.jpg
174,Jury Duty (1995),Comedy,113500.jpg
175,Kids (1995),Drama,113540.jpg
176,Living in Oblivion (1995),Comedy,113677.jpg
177,Lord of Illusions (1995),Horror,113690.jpg
178,Love & Human Remains (1993),Comedy|Drama,107447.jpg
179,Mad Love (1995),Drama|Romance,113729.jpg
180,Mallrats (1995),Comedy|Romance,113749.jpg
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,113820.jpg
183,Mute Witness (1994),Comedy|Horror|Thriller,110604.jpg
184,Nadja (1994),Drama,110620.jpg
185,"Net, The (1995)",Action|Crime|Thriller,113957.jpg
186,Nine Months (1995),Comedy|Romance,113986.jpg
187,Party Girl (1995),Comedy,114095.jpg
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,114194.jpg
189,Reckless (1995),Comedy|Fantasy,114241.jpg
190,Safe (1995),Thriller,114323.jpg
191,"Scarlet Letter, The (1995)",Drama|Romance,114345.jpg
193,Showgirls (1995),Drama,114436.jpg
194,Smoke (1995),Comedy|Drama,114478.jpg
195,Something to Talk About (1995),Comedy|Drama|Romance,114496.jpg
196,Species (1995),Horror|Sci-Fi,114508.jpg
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558.jpg
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,58450.jpg
201,Three Wishes (1995),Drama|Fantasy,114663.jpg
202,Total Eclipse (1995),Drama|Romance,114702.jpg
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,114682.jpg
204,Under Siege 2: Dark Territory (1995),Action,114781.jpg
205,Unstrung Heroes (1995),Comedy|Drama,114798.jpg
206,Unzipped (1995),Documentary,114805.jpg
