movieId,title,genres,movie_logo
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,/movie_logo/114709.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,/movie_logo/113497.jpg
3,Grumpier Old Men (1995),Comedy|Romance,/movie_logo/113228.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,/movie_logo/114885.jpg
5,Father of the Bride Part II (1995),Comedy,/movie_logo/113041.jpg
6,Heat (1995),Action|Crime|Thriller,/movie_logo/113277.jpg
7,Sabrina (1995),Comedy|Romance,/movie_logo/114319.jpg
8,Tom and Huck (1995),Adventure|Children,/movie_logo/112302.jpg
9,Sudden Death (1995),Action,/movie_logo/114576.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,/movie_logo/113189.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,/movie_logo/112346.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,/movie_logo/112896.jpg
13,Balto (1995),Adventure|Animation|Children,/movie_logo/112453.jpg
14,Nixon (1995),Drama,/movie_logo/113987.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,/movie_logo/112760.jpg
16,Casino (1995),Crime|Drama,/movie_logo/112641.jpg
17,Sense and Sensibility (1995),Drama|Romance,/movie_logo/114388.jpg
18,Four Rooms (1995),Comedy,/movie_logo/113101.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,/movie_logo/112281.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,/movie_logo/113845.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,/movie_logo/113161.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,/movie_logo/112722.jpg
23,Assassins (1995),Action|Crime|Thriller,/movie_logo/112401.jpg
24,Powder (1995),Drama|Sci-Fi,/movie_logo/114168.jpg
25,Leaving Las Vegas (1995),Drama|Romance,/movie_logo/113627.jpg
26,Othello (1995),Drama,/movie_logo/114057.jpg
27,Now and Then (1995),Children|Drama,/movie_logo/114011.jpg
28,Persuasion (1995),Drama|Romance,/movie_logo/114117.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,/movie_logo/112682.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,/movie_logo/115012.jpg
31,Dangerous Minds (1995),Drama,/movie_logo/112792.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,/movie_logo/114746.jpg
34,Babe (1995),Children|Drama,/movie_logo/112431.jpg
36,Dead Man Walking (1995),Crime|Drama,/movie_logo/112818.jpg
38,It Takes Two (1995),Children|Comedy,/movie_logo/113442.jpg
39,Clueless (1995),Comedy|Romance,/movie_logo/112697.jpg
40,"Cry, the Beloved Country (1995)",Drama,/movie_logo/112749.jpg
41,Richard III (1995),Drama|War,/movie_logo/114279.jpg
42,Dead Presidents (1995),Action|Crime|Drama,/movie_logo/112819.jpg
43,Restoration (1995),Drama,/movie_logo/114272.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,/movie_logo/113855.jpg
45,To Die For (1995),Comedy|Drama|Thriller,/movie_logo/114681.jpg
46,How to Make an American Quilt (1995),Drama|Romance,/movie_logo/113347.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,/movie_logo/114369.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,/movie_logo/114148.jpg
49,When Night Is Falling (1995),Drama|Romance,/movie_logo/114916.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,/movie_logo/114814.jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,/movie_logo/113819.jpg
53,Lamerica (1994),Adventure|Drama,/movie_logo/110299.jpg
54,"Big Green, The (1995)",Children|Comedy,/movie_logo/112499.jpg
55,Georgia (1995),Drama,/movie_logo/113158.jpg
57,Home for the Holidays (1995),Drama,/movie_logo/113321.jpg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,/movie_logo/110877.jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,/movie_logo/113419.jpg
61,Eye for an Eye (1996),Drama|Thriller,/movie_logo/116260.jpg
62,Mr. Holland's Opus (1995),Drama,/movie_logo/113862.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,/movie_logo/116126.jpg
64,Two if by Sea (1996),Comedy|Romance,/movie_logo/118002.jpg
65,Bio-Dome (1996),Comedy,/movie_logo/115683.jpg
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,/movie_logo/116839.jpg
68,French Twist (Gazon maudit) (1995),Comedy|Romance,/movie_logo/113149.jpg
69,Friday (1995),Comedy,/movie_logo/113118.jpg
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,/movie_logo/116367.jpg
71,Fair Game (1995),Action,/movie_logo/113010.jpg
72,Kicking and Screaming (1995),Comedy|Drama,/movie_logo/113537.jpg
73,"Misérables, Les (1995)",Drama|War,/movie_logo/113828.jpg
